idx,description,wnid
638,maillot1,n03710637
664,monitor,n03782006
838,sunscreen,n04357314
885,velvet,n04525038
782,screen,n04152593
784,screwdriver,n04154565
836,sunglass,n04355933
899,water_jug,n04560804
493,chiffonier,n03016953
600,hook,n03532672
488,chain,n02999410
499,cleaver,n03041632
620,laptop,n03642806
623,letter_opener,n03658185
639,maillot2,n03710721
681,notebook,n03832673
813,spatula,n04270147
837,sunglasses,n04356056
869,trench_coat,n04479046
906,Windsor_tie,n04591157
60,night_snake,n01740131
676,muzzle,n03803284
689,overskirt,n03866082
876,tub,n04493381
618,ladle,n03633091
633,loupe,n03692522
744,projectile,n04008634
961,dough,n07860988
68,sidewinder,n01756291
248,Eskimo_dog,n02109961
482,cassette_player,n02979186
764,rifle,n04090263
818,spotlight,n04286575
830,stretcher,n04336792
848,tape_player,n04392985
266,miniature_poodle,n02113712
282,tiger_cat,n02123159
412,ashcan,n02747177
479,car_wheel,n02974003
485,CD_player,n02988304
585,hair_spray,n03476991
655,miniskirt,n03770439
673,mouse,n03793489
841,sweatshirt,n04370456
909,wok,n04596742
968,cup,n07930864
240,Appenzeller,n02107908
414,backpack,n02769748
415,bakery,n02776631
461,breastplate,n02895154
523,crutch,n03141823
733,pole,n03976657
464,buckle,n02910353
501,cloak,n03045698
558,flute,n03372029
567,frying_pan,n03400231
748,purse,n04026417
834,suit,n04350905
860,tobacco_shop,n04443257
947,mushroom,n07734744
987,corn,n12144580
516,cradle,n03125729
622,lens_cap,n03657121
728,plastic_bag,n03958227
731,plunger,n03970156
823,stethoscope,n04317175
911,wool,n04599235
999,toilet_tissue,n15075141
32,tailed_frog,n01644900
62,rock_python,n01744401
200,Tibetan_terrier,n02097474
358,polecat,n02443114
435,bathtub,n02808440
436,beach_wagon,n02814533
438,beaker,n02815834
524,cuirass,n03146219
541,drum,n03249569
584,hair_slide,n03476684
799,sliding_door,n04239074
898,water_bottle,n04557648
969,eggnog,n07932039
35,mud_turtle,n01667114
44,alligator_lizard,n01689811
345,ox,n02403003
413,assault_rifle,n02749479
542,drumstick,n03250847
